carat,cut,color,clarity,table,price
1.09,Premium,H,VS2,56.0,5601
0.41,Good,E,SI1,62.0,760
1.27,Premium,G,VVS2,58.0,10203
2.11,Premium,J,SI2,60.0,12440
1.37,Ideal,J,SI2,55.0,6091
1.01,Very Good,E,VS1,62.0,8668
1.04,Premium,E,SI2,58.0,3914
1.48,Very Good,H,SI1,59.0,8815
0.31,Very Good,G,VS1,58.0,625
1.12,Very Good,D,SI2,59.0,5243
1.68,Premium,J,SI2,57.0,7652
1.01,Ideal,I,SI2,55.0,3733
0.51,Very Good,I,SI1,58.0,1068
1.0,Premium,G,VS1,60.0,6989
1.13,Very Good,H,SI1,56.0,4689
0.5,Ideal,F,VVS2,54.0,2160
0.37,Good,E,VS1,65.0,889
0.76,Ideal,E,VS2,56.0,3249
2.01,Premium,J,VS2,60.0,13400
1.27,Premium,G,VVS2,58.0,10389
1.31,Very Good,I,SI2,58.0,5916
0.58,Ideal,E,SI1,55.0,1636
0.71,Ideal,E,SI1,55.0,3376
0.41,Ideal,D,SI1,57.0,791
0.5,Very Good,D,VS2,56.0,1752
0.9,Good,G,SI2,59.0,3246
0.7,Good,E,SI1,58.0,2239
0.37,Ideal,F,VS2,55.0,759
0.42,Ideal,G,VS1,56.0,984
2.06,Ideal,I,SI2,57.0,10728
2.21,Ideal,D,SI2,57.0,16558
0.4,Ideal,E,VS2,56.0,912
1.21,Premium,G,VS1,58.0,8774
0.3,Very Good,D,SI1,60.0,552
0.4,Premium,F,VS2,58.0,1080
1.21,Ideal,F,SI2,57.0,6105
0.4,Very Good,G,SI1,55.0,682
1.71,Ideal,I,SI2,55.0,10438
1.27,Ideal,F,SI2,55.0,5405
0.42,Ideal,H,VS1,57.0,1048
0.3,Ideal,E,VVS2,56.0,1013
1.51,Very Good,D,VS2,62.0,14205
1.22,Ideal,G,VS2,55.0,7783
0.51,Very Good,E,SI1,56.0,1438
0.52,Premium,H,VS1,60.0,1577
1.32,Ideal,G,VVS2,57.0,11419
0.32,Ideal,F,IF,56.0,929
0.5,Ideal,D,SI1,60.0,1764
0.38,Premium,G,VS2,57.0,983
1.11,Ideal,E,SI1,55.0,7218
1.17,Premium,G,SI1,55.0,7731
0.71,Very Good,F,SI1,58.0,2221
1.01,Premium,H,VS2,60.0,4348
2.18,Good,H,SI2,64.0,16842
2.01,Premium,E,SI2,61.0,17179
1.2,Very Good,G,VS1,60.0,8442
0.55,Ideal,D,VS2,55.0,2133
0.54,Premium,F,VS1,59.0,1770
0.54,Ideal,I,IF,56.0,1669
1.41,Good,E,VVS2,61.0,14853
0.33,Premium,I,VVS1,61.0,780
0.92,Premium,E,SI1,58.0,4562
0.42,Ideal,F,VS1,57.0,1103
2.16,Ideal,G,SI2,54.2,18001
0.72,Ideal,F,VS1,56.0,3759
0.44,Very Good,E,SI2,59.0,878
1.16,Ideal,H,SI2,55.7,5260
0.41,Very Good,G,VS1,57.0,899
0.9,Very Good,H,VS2,59.0,4328
1.21,Very Good,J,SI1,57.0,4312
0.78,Very Good,H,SI2,56.0,2348
0.31,Premium,E,VS2,59.0,680
0.31,Premium,D,VS1,58.0,683
0.33,Very Good,G,SI1,57.0,631
1.75,Premium,H,VS2,58.0,9526
0.31,Premium,I,VS2,59.0,521
0.28,Very Good,E,VS2,59.0,487
2.01,Good,G,SI1,60.0,18625
0.54,Ideal,D,VS1,57.0,2004
1.71,Very Good,D,SI2,58.0,11737
0.96,Ideal,F,VS1,56.0,4333
1.01,Good,G,VVS2,59.0,7137
0.42,Very Good,G,SI1,55.0,916
0.51,Ideal,G,VS2,56.0,1438
1.52,Premium,G,VVS2,58.0,14105
0.31,Ideal,E,IF,57.0,1319
0.52,Ideal,G,VVS2,56.0,1906
0.23,Very Good,E,VVS2,59.0,530
0.6,Very Good,G,VVS1,58.0,2485
1.25,Ideal,I,SI2,55.0,5395
0.38,Ideal,H,VVS1,56.0,949
0.9,Very Good,I,VS2,58.0,4089
0.33,Ideal,G,VS1,55.0,666
1.16,Premium,G,SI2,58.0,4969
1.46,Ideal,E,SI2,55.0,8421
0.3,Ideal,I,SI2,54.0,367
0.32,Ideal,F,VVS1,56.0,926
1.01,Very Good,G,VS1,56.0,6846
0.3,Very Good,G,VVS1,56.0,725
0.45,Good,F,VS1,61.8,1262
0.46,Ideal,F,SI1,56.0,953
0.98,Fair,G,I1,60.0,1932
0.33,Very Good,I,VVS1,61.0,609
0.74,Ideal,F,VS1,57.0,3170
0.7,Premium,G,VS2,60.0,2479
0.4,Good,E,VVS2,62.0,981
0.23,Ideal,G,SI1,54.0,364
0.5,Ideal,H,SI2,56.0,1119
1.21,Premium,H,SI1,58.0,6573
0.55,Very Good,E,VS2,61.0,1669
2.12,Premium,J,SI2,61.0,12140
1.21,Ideal,G,SI2,56.0,6017
0.31,Ideal,H,VS1,57.0,698
0.32,Premium,E,VS1,58.0,1008
1.01,Very Good,G,VS1,58.0,6152
0.9,Fair,D,VS2,65.0,4277
1.54,Premium,J,VVS1,59.0,9215
0.7,Good,F,SI1,58.0,2242
0.39,Very Good,F,VS1,56.0,971
1.29,Premium,F,VS1,58.0,10341
0.33,Ideal,G,VVS1,58.0,802
1.17,Ideal,G,VS2,56.0,7550
0.71,Very Good,I,SI2,54.0,1902
0.36,Ideal,I,VS2,55.0,648
0.75,Good,F,VS1,59.0,2953
1.51,Premium,H,VS2,59.0,7534
0.4,Ideal,E,SI1,57.0,945
0.78,Ideal,G,SI1,57.0,2496
0.3,Very Good,D,SI2,61.0,447
0.81,Ideal,E,SI2,57.0,2864
1.7,Ideal,J,VS1,58.0,10589
0.41,Premium,D,VVS1,53.0,1582
0.7,Good,E,SI2,59.0,1929
0.6,Very Good,E,SI2,60.0,1250
0.92,Ideal,D,SI1,56.0,5779
0.38,Ideal,D,VS1,54.0,983
1.0,Ideal,E,VS2,56.0,6720
0.63,Ideal,F,VVS2,56.0,3351
0.4,Good,E,SI1,56.0,737
0.51,Premium,E,SI1,61.0,1443
0.35,Very Good,D,VS1,56.0,846
0.41,Premium,I,VVS1,61.0,1107
0.33,Premium,G,VS2,61.0,743
0.87,Ideal,G,VS2,55.0,4553
0.75,Very Good,D,SI2,58.0,2782
0.71,Ideal,F,SI1,54.0,2235
0.4,Ideal,F,SI1,57.0,945
0.5,Ideal,D,SI1,57.0,1610
0.9,Very Good,H,VS2,61.0,4129
0.25,Premium,F,VVS2,59.0,740
1.03,Premium,E,SI2,56.0,4730
0.79,Ideal,I,VS2,58.0,2712
0.28,Ideal,H,VS2,55.0,467
1.18,Ideal,I,SI1,56.0,5088
1.01,Ideal,H,SI2,56.0,3501
0.53,Good,D,VS2,58.0,1625
1.59,Ideal,I,SI1,58.0,9209
1.84,Ideal,J,VS1,56.0,8828
1.0,Very Good,I,VS2,56.0,4620
1.01,Good,D,VS1,61.0,5050
0.54,Ideal,D,SI1,55.0,1595
1.02,Very Good,E,SI2,63.0,4286
0.91,Very Good,F,VS2,57.0,4606
0.7,Ideal,E,SI1,55.0,2614
0.43,Premium,E,VS1,58.0,1209
0.94,Premium,E,SI2,59.0,3825
0.76,Ideal,F,VS2,56.0,2960
1.52,Ideal,E,SI2,56.0,8299
1.33,Very Good,H,SI2,58.0,6482
0.7,Fair,E,SI2,54.0,2600
1.15,Ideal,G,SI2,56.0,4877
0.71,Ideal,G,VS1,55.0,3431
1.01,Very Good,E,SI2,58.0,3801
0.56,Very Good,J,SI1,59.0,957
0.32,Ideal,H,IF,54.2,783
1.21,Premium,G,SI2,59.0,5405
0.39,Ideal,J,VVS2,54.5,687
1.14,Ideal,H,VS2,54.0,6628
0.31,Premium,H,VS1,61.0,698
1.17,Ideal,G,SI2,55.0,5743
0.31,Premium,E,VS1,58.0,942
0.51,Ideal,E,VVS1,53.7,2524
0.73,Ideal,D,VS2,56.0,3182
0.84,Very Good,F,SI2,57.0,2656
0.51,Ideal,F,SI2,56.0,1286
1.03,Ideal,D,SI2,55.0,4752
1.09,Ideal,G,VS1,54.0,7992
1.09,Very Good,G,VS1,59.0,6827
0.3,Ideal,F,SI1,56.0,475
0.31,Very Good,G,VVS1,59.0,642
1.02,Good,G,VVS1,58.0,7861
2.01,Very Good,H,SI1,60.0,17434
1.01,Very Good,F,SI1,60.0,4972
0.3,Ideal,H,VVS1,57.0,665
1.02,Premium,G,SI2,59.0,4370
0.31,Good,D,SI2,54.0,462
0.36,Ideal,G,VS1,56.0,949
0.52,Ideal,G,VS2,55.0,1577
2.01,Ideal,H,SI1,58.0,17403
0.9,Good,I,SI2,58.0,3057
1.2,Very Good,J,SI2,55.0,4636
1.26,Premium,J,SI1,58.0,5114
0.71,Very Good,J,VS2,61.0,1821
1.51,Good,E,I1,60.0,5647
0.3,Premium,F,VS1,58.0,731
1.58,Ideal,H,VS1,57.0,13950
0.73,Very Good,E,VS1,60.0,3353
0.59,Very Good,H,VVS2,55.0,1840
1.22,Ideal,H,SI1,56.0,6388
1.51,Premium,F,VS2,58.0,14817
0.3,Ideal,G,VS1,56.0,624
0.4,Premium,F,SI1,57.0,945
0.78,Very Good,E,SI1,56.0,2565
0.59,Ideal,E,SI1,57.0,1630
1.01,Very Good,D,SI1,60.0,5543
1.05,Premium,D,SI1,56.0,5927
1.7,Ideal,J,VS2,58.0,10002
0.41,Ideal,G,VVS2,55.0,1199
0.23,Very Good,F,VVS2,58.0,530
0.73,Premium,G,I1,58.0,1395
0.33,Very Good,E,SI1,60.0,579
0.58,Premium,F,VS2,55.0,1586
0.53,Very Good,F,SI2,55.0,1110
2.01,Very Good,I,VS2,62.0,16626
0.34,Premium,I,SI1,58.0,447
1.12,Ideal,G,VS2,57.0,6322
2.15,Ideal,I,SI1,56.0,13006
0.41,Ideal,E,VVS2,55.0,1187
1.16,Ideal,D,VS2,57.0,8185
1.28,Very Good,I,SI2,58.0,5654
0.7,Very Good,E,SI2,56.0,2273
0.63,Fair,H,SI2,61.0,1235
1.0,Fair,G,VS1,63.0,4630
1.59,Very Good,G,SI1,60.0,11613
0.3,Premium,E,VVS2,60.0,1013
0.32,Premium,F,VVS1,58.0,990
1.13,Very Good,E,SI1,58.0,5086
1.09,Ideal,I,SI1,61.0,4692
2.48,Fair,I,SI2,66.0,15030
0.51,Very Good,I,VS2,56.0,1140
0.34,Ideal,E,IF,56.0,1243
1.3,Very Good,I,VS2,57.0,6290
0.43,Ideal,E,SI2,57.0,716
0.3,Ideal,F,IF,55.0,886
1.09,Good,H,SI1,57.0,4784
0.72,Ideal,F,SI2,58.0,2300
1.3,Premium,D,SI2,58.0,7044
0.5,Very Good,G,SI1,61.0,1197
1.14,Premium,H,SI2,59.0,4702
0.41,Ideal,F,VS1,56.0,1007
1.02,Premium,D,SI2,60.0,4583
0.41,Ideal,D,SI1,57.0,1015
0.71,Very Good,F,VVS1,58.0,3104
0.81,Good,G,SI2,61.0,2789
1.07,Good,J,VS2,57.7,4602
0.4,Premium,G,VVS1,57.0,1200
0.71,Very Good,I,SI1,59.0,2008
0.9,Good,F,SI1,59.0,3696
0.3,Ideal,G,IF,55.0,844
1.01,Premium,H,I1,59.0,3167
1.01,Ideal,E,VVS2,55.0,10852
0.41,Very Good,F,SI1,56.0,755
0.62,Ideal,H,VS1,56.0,1808
0.34,Ideal,I,VS1,56.0,537
0.44,Ideal,F,SI1,57.0,810
0.54,Ideal,G,VVS2,56.0,1914
1.21,Ideal,H,IF,57.0,7789
2.01,Very Good,J,SI2,60.0,11406
2.11,Very Good,D,SI2,60.0,18407
0.32,Ideal,J,VS1,57.0,540
0.38,Ideal,H,SI1,56.0,834
0.32,Ideal,F,IF,55.0,1080
0.81,Ideal,F,VS2,57.0,3756
0.73,Very Good,I,VS2,59.0,2426
0.9,Very Good,H,SI1,59.0,3447
2.01,Ideal,I,SI1,56.0,15116
2.01,Ideal,J,SI2,57.0,13253
0.37,Ideal,I,IF,56.0,754
0.91,Very Good,E,SI2,60.0,3751
1.08,Ideal,G,SI1,56.0,5256
0.3,Ideal,D,SI1,57.0,524
1.24,Ideal,G,VS2,56.0,8797
0.72,Very Good,H,SI1,57.0,2168
0.53,Good,H,SI1,55.0,1242
0.38,Ideal,F,VS2,54.0,969
0.25,Premium,G,SI2,60.0,1186
0.9,Very Good,E,SI1,61.0,4315
0.34,Ideal,G,VS1,57.0,720
0.31,Very Good,G,SI2,59.0,408
0.64,Ideal,G,VVS2,54.0,2587
0.38,Premium,G,SI1,60.0,666
0.57,Ideal,G,SI1,57.0,1369
0.33,Ideal,G,VS1,54.0,854
0.31,Ideal,I,SI1,56.0,418
0.55,Ideal,D,VS2,57.0,1894
0.76,Premium,G,SI2,55.0,1970
0.54,Ideal,F,VS2,57.0,1786
1.22,Premium,G,VS2,58.0,8213
1.06,Very Good,E,IF,55.0,12642
0.51,Very Good,I,SI1,55.0,1068
0.72,Premium,H,IF,59.0,3048
0.39,Very Good,G,VS1,57.0,855
1.61,Premium,G,SI1,58.0,11303
1.63,Premium,F,SI1,62.0,12394
0.55,Very Good,I,SI1,57.0,1149
0.32,Ideal,G,VS1,56.0,645
1.51,Very Good,G,VS2,57.0,11923
1.21,Ideal,I,VS2,60.0,6135
0.31,Ideal,D,VS2,54.0,804
0.9,Premium,H,VS1,56.0,4064
0.38,Ideal,F,VS1,57.0,929
1.02,Very Good,H,SI2,54.0,4252
0.33,Premium,H,IF,60.0,1114
1.2,Very Good,F,VS2,55.0,8454
0.69,Very Good,F,VVS2,60.0,2993
1.51,Very Good,G,SI2,54.6,8637
2.01,Premium,J,SI2,59.0,12105
0.45,Ideal,H,SI1,56.0,923
1.04,Very Good,H,SI1,63.0,4484
0.73,Fair,I,VS1,66.0,2330
1.2,Good,E,SI1,61.0,6969
1.03,Premium,F,VS2,58.0,6484
0.44,Ideal,G,SI1,57.0,772
0.24,Very Good,F,VVS2,56.0,478
0.26,Very Good,F,VVS1,55.0,657
1.32,Premium,F,VS1,59.0,10977
0.23,Very Good,G,VVS2,59.0,438
1.27,Good,F,I1,64.0,4324
1.52,Premium,D,VS1,59.0,17723
0.33,Ideal,E,VS1,57.0,1002
0.33,Premium,I,VVS2,56.0,743
1.0,Very Good,E,SI2,54.0,4480
1.04,Ideal,G,SI2,55.0,4414
0.59,Very Good,F,VS2,58.0,1723
0.26,Good,H,VVS2,58.0,468
2.01,Very Good,J,SI1,62.0,12257
0.53,Ideal,H,VS1,56.0,1607
1.15,Premium,D,SI1,58.0,6041
0.32,Premium,I,VS2,59.0,449
0.22,Premium,E,VS2,58.0,404
1.01,Ideal,H,VS1,57.0,5777
0.28,Very Good,H,VS1,56.0,429
0.3,Ideal,F,SI1,56.0,475
0.3,Ideal,H,IF,57.0,764
0.9,Premium,G,SI1,59.0,3669
1.5,Fair,F,VS2,57.0,13853
0.71,Premium,G,VS2,60.0,2671
0.39,Ideal,G,VVS1,62.0,1004
0.6,Ideal,G,IF,55.0,2570
0.9,Very Good,F,SI1,58.0,4074
0.72,Ideal,F,VS2,56.0,2943
0.52,Ideal,I,VVS1,55.0,1619
0.4,Premium,F,VS1,59.0,1050
0.9,Very Good,F,VS2,58.0,4504
0.51,Good,H,VS2,65.0,1128
0.53,Very Good,D,SI2,61.0,1226
0.71,Ideal,H,SI1,57.0,2368
0.31,Ideal,E,VVS2,55.0,1046
0.46,Ideal,E,SI2,56.0,870
1.33,Ideal,I,VVS2,56.0,7887
2.22,Ideal,I,VS2,56.0,18531
0.73,Very Good,F,VVS2,59.0,3442
2.01,Fair,G,SI2,59.0,14799
1.02,Ideal,E,VS1,57.0,8096
0.77,Ideal,F,VS1,54.0,3750
2.02,Good,H,SI2,55.0,16565
0.33,Ideal,E,VS1,57.0,850
1.54,Premium,E,VS2,58.0,15178
0.78,Very Good,F,VS2,58.0,3429
0.54,Premium,E,SI1,60.0,1422
0.42,Premium,F,SI1,58.0,773
0.7,Ideal,H,VVS2,56.0,3325
1.22,Premium,G,SI1,59.0,6492
1.01,Very Good,F,SI1,56.0,5078
0.72,Ideal,F,VS2,56.0,2724
0.43,Very Good,G,IF,58.0,1286
0.51,Very Good,H,VS1,57.0,1628
0.7,Very Good,G,VS2,58.0,2338
0.59,Ideal,D,SI1,55.0,1783
1.13,Premium,J,SI1,59.0,4214
0.92,Premium,G,SI2,57.0,3555
0.73,Ideal,G,SI2,56.0,2585
0.31,Ideal,G,VVS1,55.0,789
0.52,Ideal,F,SI1,57.0,1250
0.7,Ideal,G,SI1,55.0,2335
0.9,Premium,E,VS2,59.0,4687
0.33,Good,F,SI1,62.0,536
0.52,Ideal,G,VS1,54.0,1621
2.3,Premium,J,SI2,58.0,13560
0.71,Premium,D,SI2,59.0,2768
1.0,Premium,D,SI2,59.0,5286
1.51,Very Good,H,VS2,58.0,10225
0.94,Ideal,G,VVS1,58.0,6488
0.4,Ideal,E,VVS2,55.0,1238
1.0,Ideal,G,VS2,57.0,6612
1.07,Good,G,SI1,59.0,4861
2.23,Premium,J,SI1,59.0,13069
1.18,Very Good,H,SI1,55.0,5815
0.3,Premium,E,IF,59.0,1097
0.53,Ideal,G,IF,56.0,2293
0.33,Ideal,H,SI1,57.0,610
0.74,Very Good,G,SI2,56.0,2277
0.91,Ideal,I,SI2,54.0,2976
1.01,Very Good,F,SI2,57.0,4304
1.0,Good,E,SI1,62.0,5784
0.4,Premium,D,VS1,59.0,1123
1.22,Premium,F,VS2,58.0,8576
1.31,Premium,H,VS2,58.0,6095
0.3,Very Good,F,VS2,55.0,524
1.51,Premium,G,VS2,60.0,13157
1.13,Ideal,G,VS2,57.0,6525
1.01,Premium,G,VS1,59.0,6618
2.51,Very Good,E,SI2,56.0,16717
0.71,Very Good,F,SI1,57.0,2333
1.55,Very Good,G,VS1,60.0,14386
0.86,Premium,F,SI2,58.0,2980
0.92,Premium,E,SI2,59.0,3941
1.68,Ideal,G,VS2,54.0,15740
0.51,Premium,D,VS2,58.0,1716
0.54,Ideal,G,VVS2,55.0,1927
0.41,Ideal,D,VS1,56.0,1427
0.5,Good,G,VVS2,56.0,1791
0.34,Ideal,G,SI1,55.0,540
0.51,Ideal,H,VS1,54.0,1438
0.52,Ideal,E,VS2,56.0,1644
1.26,Premium,D,VS2,59.0,9720
0.31,Ideal,G,SI1,55.0,493
2.33,Very Good,J,VS2,59.0,14801
0.5,Very Good,I,SI1,57.0,1035
1.22,Premium,I,VS2,59.0,4562
0.9,Very Good,H,SI1,59.0,3447
1.51,Good,I,SI1,59.0,6266
0.36,Ideal,D,SI1,56.0,663
0.9,Very Good,I,VS2,57.0,3489
0.35,Good,G,SI1,56.0,522
0.71,Premium,G,SI1,57.0,2386
1.0,Good,G,SI1,61.0,4859
0.7,Ideal,F,SI1,58.0,2671
0.31,Ideal,E,VS2,54.0,872
1.01,Very Good,F,VS1,59.0,6825
0.61,Ideal,D,VS2,56.0,2364
0.23,Very Good,G,VVS2,55.0,431
0.52,Ideal,I,SI1,55.0,1074
2.01,Premium,I,VS2,60.0,17433
0.31,Ideal,E,IF,55.0,1214
1.61,Ideal,I,SI1,55.0,9439
0.31,Very Good,J,SI1,59.0,363
0.34,Ideal,G,SI1,55.5,531
0.51,Premium,F,VVS2,58.0,1953
1.51,Premium,I,SI2,59.0,7162
0.32,Premium,H,IF,58.0,979
0.36,Very Good,G,VS1,60.0,726
0.43,Premium,F,VS2,58.0,905
0.4,Premium,F,VVS1,59.0,1323
2.06,Premium,I,SI1,61.0,14488
0.26,Ideal,F,VS1,56.0,452
0.33,Ideal,H,VS1,56.0,743
0.9,Good,G,SI1,59.0,3734
2.03,Ideal,H,SI2,56.0,15143
1.01,Premium,F,SI2,60.0,3297
1.01,Ideal,G,SI2,54.0,4560
0.7,Very Good,G,VS2,53.0,2563
0.57,Ideal,G,I1,57.0,1019
0.54,Very Good,D,VS2,58.0,1892
1.51,Ideal,H,VS1,54.0,12071
1.0,Premium,F,VS2,59.0,7072
0.83,Premium,F,SI2,59.0,2840
0.3,Good,E,SI1,55.0,526
0.72,Premium,J,VS1,56.0,1875
0.33,Very Good,D,VVS2,58.0,1050
0.35,Ideal,G,SI1,55.0,503
0.35,Ideal,H,VS1,56.0,788
1.2,Good,F,VS2,60.0,7666
0.31,Ideal,J,VS1,55.0,424
0.45,Premium,I,VVS1,56.0,1013
0.91,Good,H,VS2,59.0,3192
2.17,Ideal,I,SI1,56.0,17224
0.7,Ideal,F,SI1,56.0,2382
1.08,Ideal,G,VS2,56.0,6706
0.37,Premium,F,SI1,59.0,791
2.2,Ideal,H,VS2,55.0,17460
0.32,Ideal,F,VS1,56.0,702
1.04,Ideal,G,VS1,57.0,7294
0.3,Ideal,H,IF,56.0,1013
0.34,Premium,D,VS2,59.0,881
1.64,Very Good,H,SI2,59.0,9632
1.59,Ideal,H,VS1,56.0,14031
1.47,Very Good,H,SI2,58.0,7438
2.03,Ideal,I,VS2,57.0,16792
0.73,Ideal,E,SI1,57.0,2707
0.79,Premium,H,VVS2,58.0,2827
1.0,Premium,F,SI2,58.0,3584
0.29,Ideal,G,VS1,54.0,507
0.72,Ideal,F,VS2,57.0,2724
0.51,Ideal,H,VS2,55.0,1163
1.17,Ideal,I,VS1,57.0,5892
0.36,Very Good,F,SI1,58.0,600
0.7,Very Good,H,VS2,56.0,2074
0.24,Ideal,H,IF,54.0,504
0.32,Good,D,SI1,57.0,589
0.27,Very Good,E,VVS2,61.0,575
0.92,Premium,H,SI1,60.0,2968
0.31,Very Good,E,SI1,56.0,544
0.4,Ideal,G,VVS1,57.0,1097
0.31,Ideal,E,IF,56.0,1060
0.3,Premium,J,VS1,60.0,394
0.28,Ideal,G,VS1,55.0,490
0.27,Very Good,E,SI1,57.0,407
0.42,Premium,E,SI2,60.0,814
0.42,Premium,G,SI1,58.0,882
0.41,Premium,G,VS2,58.0,1061
0.59,Very Good,G,VS1,63.0,1915
2.0,Premium,F,SI2,62.0,11198
0.74,Premium,H,VS2,58.0,2553
2.04,Premium,J,VS2,59.0,11209
0.7,Very Good,F,SI1,59.0,2573
0.4,Premium,H,VS1,58.0,1035
0.24,Very Good,E,VVS1,58.0,485
0.51,Ideal,G,VS2,56.0,1557
0.43,Ideal,H,SI1,54.0,891
0.62,Ideal,D,VVS1,54.0,3968
0.74,Premium,E,VS2,58.0,3228
0.5,Premium,E,VS1,58.0,1672
0.39,Premium,E,VS2,58.0,951
0.41,Premium,F,VS2,57.0,1107
0.32,Premium,F,VS2,61.0,828
0.7,Good,E,SI2,65.0,2032
0.3,Ideal,G,IF,56.0,956
0.32,Ideal,F,VVS1,56.0,912
2.51,Ideal,H,SI1,56.0,15324
1.6,Premium,G,VVS2,60.0,16215
0.44,Ideal,G,VS1,54.0,915
1.01,Premium,G,VS2,59.0,5787
1.1,Ideal,G,VS2,57.0,6653
1.57,Very Good,J,VS2,60.0,7813
0.3,Ideal,I,VS1,56.0,608
1.0,Good,J,VVS2,57.0,3265
1.5,Ideal,H,SI2,55.0,8614
0.45,Good,F,VS1,62.5,1144
1.0,Very Good,G,VVS2,54.0,8138
2.0,Very Good,J,VS2,62.0,13043
0.9,Ideal,G,SI2,56.0,3521
0.3,Ideal,F,VS2,55.0,605
0.27,Ideal,G,VS2,54.0,490
1.65,Ideal,J,SI1,56.0,8334
1.0,Very Good,G,VVS1,56.0,7507
0.55,Ideal,G,VVS2,56.0,1981
0.91,Premium,I,VS2,61.0,3376
0.29,Ideal,F,VVS2,58.0,715
1.0,Very Good,D,SI2,59.0,4295
1.01,Fair,D,VS2,68.0,5797
2.0,Very Good,E,SI2,59.0,15864
0.41,Ideal,E,VVS2,55.0,918
0.97,Ideal,J,VS1,57.0,4278
2.07,Very Good,I,VS2,58.0,16378
1.58,Premium,F,SI2,60.0,9290
1.5,Premium,I,VS2,58.0,8820
0.53,Good,E,SI1,56.0,1224
0.42,Ideal,D,VS1,57.0,1388
0.75,Ideal,J,VS2,57.0,1923
0.3,Ideal,J,VVS2,56.0,439
1.75,Ideal,H,I1,56.0,7680
0.3,Ideal,F,IF,57.0,947
0.55,Ideal,D,VVS2,57.0,2644
0.79,Good,J,VS2,59.0,2048
1.2,Very Good,G,SI1,58.0,7372
1.4,Very Good,I,SI1,59.0,7644
0.77,Fair,J,SI1,66.0,1956
1.51,Ideal,I,SI1,60.0,8396
0.32,Ideal,H,VS1,55.0,720
0.34,Ideal,F,VS2,55.0,686
1.13,Ideal,H,SI1,57.0,4556
0.25,Premium,E,VS2,61.0,525
0.54,Ideal,J,VVS1,54.0,1239
0.3,Ideal,D,SI2,58.0,413
0.4,Ideal,G,VS1,55.0,1104
0.35,Ideal,I,VVS1,55.0,628
0.3,Ideal,E,VVS2,55.0,1053
0.79,Very Good,D,SI1,57.0,3432
0.52,Ideal,E,SI1,57.0,1429
0.7,Good,H,VS2,60.0,2394
0.7,Very Good,D,VS2,55.0,3052
0.87,Ideal,H,SI2,56.0,2816
1.24,Ideal,G,IF,56.0,11376
1.03,Premium,F,VVS1,60.0,10546
0.23,Very Good,E,VVS1,59.0,472
0.7,Very Good,G,VS2,55.0,3026
1.03,Ideal,G,VS1,56.0,7648
0.57,Ideal,G,VVS2,56.0,1976
0.3,Ideal,F,VS1,55.0,754
0.68,Premium,H,SI1,59.0,1666
1.01,Very Good,H,VS2,59.0,5559
0.76,Very Good,G,SI1,56.0,2652
1.01,Fair,G,I1,56.0,2287
0.3,Very Good,E,SI1,56.0,675
0.72,Ideal,D,SI1,55.0,3568
1.22,Premium,G,SI2,62.0,5226
1.12,Premium,I,SI1,58.0,4077
0.33,Ideal,G,VVS1,55.0,1114
1.02,Premium,G,VS2,59.0,5978
0.38,Ideal,F,IF,55.0,1397
1.01,Premium,G,VS2,60.0,6108
0.32,Very Good,H,VS2,55.0,648
0.71,Premium,E,SI1,62.0,2629
0.34,Very Good,E,VVS2,59.0,775
0.53,Ideal,H,VS1,57.0,1577
1.0,Premium,E,SI2,60.0,4620
0.82,Ideal,G,SI2,55.0,2165
1.77,Premium,F,SI1,59.0,11965
1.2,Ideal,I,SI1,58.0,5376
0.33,Ideal,E,VVS2,54.0,741
0.34,Premium,H,VVS1,59.0,775
0.4,Ideal,F,SI1,57.0,882
0.75,Premium,I,SI2,57.0,2070
0.91,Ideal,F,SI2,56.0,3812
1.11,Premium,D,I1,58.0,3655
0.91,Ideal,I,VS2,56.0,3751
0.31,Ideal,E,VVS2,54.0,767
0.3,Ideal,E,VVS2,56.0,789
0.78,Ideal,D,SI1,55.0,3389
1.4,Premium,D,SI2,54.0,8419
1.53,Fair,I,VS2,69.0,8996
0.58,Ideal,F,VVS1,57.0,2728
1.0,Fair,H,SI1,64.0,3830
0.32,Ideal,I,VVS2,54.0,720
2.09,Premium,H,SI2,60.0,14581
1.01,Very Good,F,VS1,58.0,7107
1.73,Very Good,I,SI2,58.0,9292
1.01,Very Good,H,SI1,57.0,4306
0.39,Premium,F,VS2,62.0,1053
1.21,Very Good,H,VS1,59.0,7196
0.53,Premium,F,SI1,58.0,1266
0.72,Ideal,I,VVS2,57.0,2594
0.7,Fair,G,I1,55.0,1069
1.13,Premium,E,SI2,59.0,5316
0.71,Very Good,D,VS1,62.0,3145
0.37,Premium,E,VS2,58.0,757
0.31,Very Good,I,VVS1,55.0,541
1.51,Premium,F,SI1,58.0,10693
0.31,Very Good,H,VVS2,58.0,625
0.3,Very Good,I,SI1,59.0,506
1.0,Good,J,SI1,59.0,3780
0.73,Ideal,G,SI1,54.0,2351
0.3,Premium,F,VS2,60.0,673
0.33,Ideal,E,VS1,57.0,686
0.72,Ideal,H,VS1,55.0,3167
0.3,Very Good,G,VS2,59.0,644
1.06,Premium,F,VS2,57.0,6947
0.3,Very Good,H,VS1,55.0,541
0.37,Ideal,E,VS2,56.0,1041
0.31,Ideal,E,VVS1,56.0,865
1.19,Premium,I,SI2,56.0,4558
0.77,Very Good,J,SI2,56.0,2001
